=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2019JUL30 180000  3.9  991.8  63.0  3.9 3.9 3.5  MW   ON  FLG  -73.06 -63.68  RCDO   NA    4.8   12.26  121.23  FCST   GOES15 16.4 MWinit1=3.53.33.7
2019JUL30 183000  4.0  990.4  65.0  4.0 4.0 3.6  MW   ON  FLG  -74.56 -70.07  UNIFRM   NA    4.8   12.28  121.34  FCST   GOES15 16.3 MWinit1=3.63.33.7
2019JUL30 190000  4.0  990.4  65.0  4.0 4.0 4.0  MW   ON  OFF  -74.06 -72.21  UNIFRM   NA    4.8   12.30  121.45  FCST   GOES15 16.3 MWinit1=3.83.33.7
2019JUL30 193000  4.0  990.4  65.0  4.0 4.0 4.1  MW   ON  OFF  -74.56 -72.44  UNIFRM   NA    4.8   12.32  121.56  FCST   GOES15 16.3 MWinit1=3.83.43.7
2019JUL30 200000  4.0  990.4  65.0  4.0 4.0 4.1  MW   ON  OFF  -74.06 -71.83  UNIFRM   NA    4.8   12.34  121.66  FCST   GOES15 16.2 MWinit1=3.83.53.7
2019JUL30 203000  4.1  988.8  67.4  4.1 4.1 4.1  MW   ON  OFF  -70.66 -70.63  UNIFRM   NA    4.8   12.36  121.77  FCST   GOES15 16.2 MWinit1=3.93.63.7
2019JUL30 210000  4.1  988.8  67.4  4.1 4.1 4.1  MW  OFF  OFF  -74.56 -72.05  UNIFRM   NA    4.8   12.36  121.29  FCST   GOES15 16.4 MWinit1=4.03.73.7
2019JUL30 213000  4.1  988.8  67.4  4.1 4.1 4.1  MW  OFF  OFF  -72.56 -71.31  UNIFRM   NA    4.8   12.38  121.40  FCST   GOES15 16.4 MWinit1=4.13.83.8
2019JUL30 220000  4.1  988.7  67.4  4.1 4.1 4.0  MW  OFF  OFF  -71.66 -71.54  UNIFRM   NA    4.8   12.40  121.50  FCST   GOES15 16.4 MWinit1=4.03.93.9
2019JUL30 223000  4.2  987.1  69.8  4.2 4.2 3.9  MW  OFF  OFF  -68.86 -70.55  UNIFRM   NA    4.8   12.42  121.60  FCST   GOES15 16.3 MWinit1=3.93.93.9
2019JUL30 230000  4.2  987.1  69.8  4.2 4.2 4.0  MW  OFF  OFF  -69.76 -70.81  UNIFRM   NA    4.8   12.44  121.71  FCST   GOES15 16.3 MWinit1=4.03.93.9
2019JUL30 233000  4.2  987.1  69.8  4.2 4.2 4.0  MW  OFF  OFF  -73.06 -71.08  UNIFRM   NA    4.8   12.46  121.82  FCST   GOES15 16.3 MWinit1=4.03.93.9
2019JUL31 000000  4.3  985.4  72.2  4.3 4.3 4.0  MW  OFF  OFF  -76.66 -71.20  UNIFRM   NA    4.8   12.48  121.92  FCST   GOES15 16.2 MWinit1=4.04.04.0
2019JUL31 003000  4.3  985.4  72.2  4.3 4.3 4.0  MW   ON  OFF  -77.16 -71.93  UNIFRM   NA    4.8   12.50  122.03  FCST   GOES15 16.2 MWinit1=4.03.94.0
2019JUL31 010000  4.3  985.3  72.2  4.3 4.3 4.1  MW     OFF  OFF  -74.06 -72.82  UNIFRM   NA   34.7   12.51  122.14  FCST   GOES15 16.2 
2019JUL31 013000  4.3  985.3  72.2  4.3 4.3 4.1  MW     OFF  OFF  -69.36 -72.90  UNIFRM   NA   34.7   12.53  122.24  FCST   GOES15 16.1 
2019JUL31 020000  4.3  985.3  72.2  4.3 4.3 4.1  MW     OFF  OFF  -64.26 -71.76  UNIFRM   NA   34.7   12.55  122.35  FCST   GOES15 16.1 
2019JUL31 023000  4.3  985.3  72.2  4.3 4.3 4.0  MW   OFF  OFF  -65.06 -70.45  UNIFRM   NA    0.7   12.57  122.46  FCST   GOES15 16.1 
2019JUL31 030000  4.3  985.3  72.2  4.3 4.3 3.9  MW   OFF  OFF  -63.86 -69.42  UNIFRM   NA    0.7   12.59  122.56  FCST   GOES15 16.0 
2019JUL31 033000  4.3  985.2  72.2  4.3 4.3 3.9  MW   OFF  OFF  -79.36 -72.45  UNIFRM   NA    0.7   12.77  122.70  FCST   GOES15 16.2 
2019JUL31 040000  4.3  985.2  72.2  4.3 4.3 3.9  MW   OFF  OFF  -78.26 -73.33  UNIFRM   NA    0.7   12.80  122.80  FCST   GOES15 16.2 
2019JUL31 043000  4.3  985.2  72.2  4.3 4.3 4.0  MW   OFF  OFF  -76.66 -73.22  UNIFRM   NA    0.7   12.83  122.90  FCST   GOES15 16.2 
