=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2014SEP04 113000  4.4  974.7  74.6  4.4 4.4 3.8  MW     OFF  OFF  -76.06 -79.17  UNIFRM   NA   39.1   20.71  109.85  FCST   GOES15 37.4 
2014SEP04 120000  4.4  974.7  74.6  4.4 4.4 3.8  MW     OFF  OFF  -67.56 -78.42  UNIFRM   NA   39.1   20.75  109.89  FCST   GOES15 37.4 
2014SEP04 123000  4.4  974.6  74.6  4.4 4.4 4.1  MW     OFF  OFF  -62.36 -75.23  EMBC     NA   39.1   20.79  109.93  FCST   GOES15 37.4 
2014SEP04 130000  4.4  974.6  74.6  4.4 4.4 3.7  MW     OFF  OFF  -69.76 -76.02  UNIFRM   NA   39.1   20.83  109.97  FCST   GOES15 37.3 
2014SEP04 133000  4.5  972.9  77.0  4.5 4.5 3.7  MW     OFF  OFF  -77.66 -75.30  UNIFRM   NA   39.1   20.87  110.01  FCST   GOES15 37.3 
2014SEP04 140000  4.5  972.9  77.0  4.5 4.5 3.7  MW   OFF  OFF  -79.96 -76.04  UNIFRM   NA    0.0   20.90  110.05  FCST   GOES15 37.3 
2014SEP04 143000  4.5  972.8  77.0  4.5 4.5 3.7  MW   OFF  OFF  -79.96 -77.17  UNIFRM   NA    0.0   20.94  110.09  FCST   GOES15 37.3 
2014SEP04 150000  4.5  973.0  77.0  4.5 4.5 3.8  MW   OFF  OFF  -77.16 -78.85  UNIFRM   NA    0.0   20.70  110.40  FCST   GOES15 36.9 
2014SEP04 153000  4.5  972.9  77.0  4.5 4.5 3.8  MW   OFF  OFF  -77.66 -77.28  UNIFRM   NA    0.0   20.75  110.44  FCST   GOES15 36.9 
2014SEP04 160000  4.5  972.9  77.0  4.5 4.5 3.7  MW   OFF  OFF  -75.56 -75.99  UNIFRM   NA    0.0   20.80  110.47  FCST   GOES15 36.9 
2014SEP04 163000  4.5  972.9  77.0  4.5 4.5 3.7  MW   OFF  OFF  -75.06 -74.87  UNIFRM   NA    0.0   20.84  110.51  FCST   GOES15 36.9 
2014SEP04 170000  4.5  972.9  77.0  4.5 4.5 3.6  MW   OFF  OFF  -75.56 -74.66  UNIFRM   NA    0.0   20.89  110.54  FCST   GOES15 36.9 
2014SEP04 173000  4.5  972.9  77.0  4.5 4.5 3.7  MW   OFF  OFF  -74.06 -74.70  UNIFRM   NA    0.0   20.93  110.58  FCST   GOES15 36.9 
2014SEP04 180000  4.5  972.8  77.0  4.5 4.5 3.7  MW   OFF  OFF  -74.56 -74.63  UNIFRM   NA    0.0   20.98  110.62  FCST   GOES15 36.9 
2014SEP04 183000  4.5  972.8  77.0  4.5 4.5 3.7  MW   OFF  OFF  -72.56 -74.87  UNIFRM   NA    0.0   21.02  110.66  FCST   GOES15 36.9 
