=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2015SEP05 091500  1.8 1014.0  28.0  1.5 1.5 1.5  none   ON  OFF   18.24 -13.40  SHEAR    NA   NA    23.21   41.03  FCST   GOES13 46.6 
2015SEP05 094500  1.8 1014.0  28.0  1.5 2.0 3.4  0.5Thour  ON  OFF   13.74 -14.50  SHEAR    NA   NA    23.23   41.10  FCST   GOES13 46.5 
2015SEP05 101500  1.6 1015.1  26.0  1.5 1.5 1.5  none   ON  OFF   21.74  -8.74  SHEAR    NA   NA    23.25   41.17  FCST   GOES13 46.5 
2015SEP05 104500  1.6 1015.1  26.0  1.5 1.5 1.5  none   ON  OFF   23.14  -1.70  SHEAR    NA   NA    23.28   41.24  FCST   GOES13 46.5 
2015SEP05 111500  1.6 1015.1  26.0  1.5 1.5 1.5  none   ON  OFF   23.74   4.69  SHEAR    NA   NA    23.30   41.30  FCST   GOES13 46.4 
2015SEP05 114500  1.5 1015.6  25.0  1.5 1.5 1.5  none   ON  OFF   23.14   9.75  SHEAR    NA   NA    23.33   41.37  FCST   GOES13 46.4 
2015SEP05 121500  1.5 1015.6  25.0  1.5 1.5 1.5  none  OFF  OFF   23.04  10.20  SHEAR    NA   NA    23.35   41.43  FCST   GOES13 46.3 
2015SEP05 124500  1.5 1015.6  25.0  1.5 1.5 1.5  none  OFF  OFF   22.94  11.10  SHEAR    NA   NA    23.38   41.50  FCST   GOES13 46.3 
2015SEP05 131500  1.5 1015.6  25.0  1.5 1.5 1.5  none  OFF  OFF   22.54  12.10  SHEAR    NA   NA    23.41   41.56  FCST   GOES13 46.2 
2015SEP05 134500  1.5 1015.6  25.0  1.5 1.5 1.5  none  OFF  OFF   22.94  13.87  SHEAR    NA   NA    23.43   41.62  FCST   GOES13 46.2 
2015SEP05 141500  1.5 1015.6  25.0  1.5 1.5 1.5  none  OFF  OFF   22.54  16.06  SHEAR    NA   NA    23.46   41.69  FCST   GOES13 46.2 
2015SEP05 144500  1.5 1015.5  25.0  1.5 1.5 1.5  none  OFF  OFF   21.74  15.71  SHEAR    NA   NA    23.49   41.75  FCST   GOES13 46.1 
2015SEP05 151500  1.5 1015.6  25.0  1.5 1.5 1.5  none  OFF  OFF   21.64  18.25  SHEAR    NA   NA    23.41   41.83  FCST   GOES13 46.0 
2015SEP05 154500  1.5 1015.6  25.0  1.5 1.5 1.5  none  OFF  OFF   21.24  18.00  SHEAR    NA   NA    23.43   41.88  FCST   GOES13 46.0 
2015SEP05 161500  1.5 1015.6  25.0  1.5 1.5 1.5  none  OFF  OFF   21.04  17.69  SHEAR    NA   NA    23.45   41.93  FCST   GOES13 45.9 
2015SEP05 164500  1.5 1015.6  25.0  1.5 1.5 1.5  none  OFF  OFF   20.74  17.57  SHEAR    NA   NA    23.46   41.99  FCST   GOES13 45.9 
2015SEP05 171500  1.5 1015.6  25.0  1.5 1.5 1.5  none  OFF  OFF   20.64  16.86  SHEAR    NA   NA    23.48   42.04  FCST   GOES13 45.9 
2015SEP05 174500  1.5 1015.5  25.0  1.5 1.5 1.5  none  OFF  OFF   20.74  16.82  SHEAR    NA   NA    23.51   42.09  FCST   GOES13 45.8 
2015SEP05 181500  1.5 1015.5  25.0  1.5 1.5 1.5  none  OFF  OFF   20.14  15.87  SHEAR    NA   NA    23.53   42.15  FCST   GOES13 45.8 
2015SEP05 184500  1.5 1015.5  25.0  1.5 1.5 1.5  none  OFF  OFF   21.14  14.46  SHEAR    NA   NA    23.55   42.20  FCST   GOES13 45.8 
2015SEP05 191500  1.5 1015.5  25.0  1.5 1.5 1.5  none  OFF  OFF   20.94  13.00  SHEAR    NA   NA    23.58   42.25  FCST   GOES13 45.7 
2015SEP05 194500  1.5 1015.5  25.0  1.5 1.5 1.5  none  OFF  OFF   20.64  11.34  SHEAR    NA   NA    23.60   42.30  FCST   GOES13 45.7 
2015SEP05 201500  1.5 1015.5  25.0  1.5 1.5 1.5  none  OFF  OFF   19.94  11.19  SHEAR    NA   NA    23.63   42.35  FCST   GOES13 45.7 
2015SEP05 204500  1.5 1015.4  25.0  1.5 1.5 1.5  none  OFF  OFF   20.54  15.36  SHEAR    NA   NA    23.78   42.48  FCST   GOES13 45.7 
2015SEP05 211500  1.5 1015.4  25.0  1.5 1.5 1.5  none  OFF  OFF   21.24  16.22  SHEAR    NA   NA    23.82   42.52  FCST   GOES13 45.7 
2015SEP05 214500  1.5 1015.4  25.0  1.5 1.5 1.5  none  OFF  OFF   20.94  14.60  SHEAR    NA   NA    23.85   42.55  FCST   GOES13 45.6 
2015SEP05 221500  1.5 1015.4  25.0  1.5 1.5 1.5  none  OFF  OFF   20.54  16.61  SHEAR    NA   NA    23.89   42.59  FCST   GOES13 45.6 
2015SEP05 224500  1.5 1015.3  25.0  1.5 1.5 1.5  none  OFF  OFF   20.14  14.82  SHEAR    NA   NA    23.93   42.63  FCST   GOES13 45.6 
2015SEP05 231500  1.5 1015.3  25.0  1.5 1.5 1.5  none  OFF  OFF   19.74  14.86  SHEAR    NA   NA    23.96   42.66  FCST   GOES13 45.6 
2015SEP05 234500  1.5 1015.3  25.0  1.5 1.5 1.5  none  OFF  OFF   19.44  13.53  SHEAR    NA   NA    24.00   42.70  FCST   GOES13 45.6 
2015SEP06 001500  1.5 1015.3  25.0  1.5 1.5 1.5  none  OFF  OFF   20.64  10.51  SHEAR    NA   NA    24.04   42.73  FCST   GOES13 45.6 
2015SEP06 004500  1.5 1015.3  25.0  1.5 1.5 1.5  none  OFF  OFF   19.74   8.61  SHEAR    NA   NA    24.08   42.77  FCST   GOES13 45.6 
2015SEP06 011500  1.5 1015.2  25.0  1.5 1.5 1.5  none  OFF  OFF   17.64  -1.01  SHEAR    NA   NA    24.12   42.80  FCST   GOES13 45.6 
2015SEP06 014500  1.5 1015.2  25.0  1.5 2.0 2.9  0.5Thour OFF  OFF    2.44 -14.39  CRVBND   NA   NA    24.15   42.84  FCST   GOES13 45.6 
2015SEP06 021500  1.6 1014.7  26.0  1.6 2.0 2.9  0.5Thour OFF  OFF  -46.56 -20.16  CRVBND   NA   NA    24.19   42.87  FCST   GOES13 45.6 
2015SEP06 024500  1.6 1014.7  26.0  1.6 1.5 1.5  none  OFF  OFF   18.34 -22.25  SHEAR    NA   NA    24.07   43.09  FCST   GOES13 45.3 
2015SEP06 031500  1.7 1014.1  27.0  1.7 2.1 3.4  0.5Thour OFF  OFF   16.24 -27.45  SHEAR    NA   NA    24.13   43.11  FCST   GOES13 45.3 
2015SEP06 034500  1.8 1013.6  28.0  1.8 2.1 2.6  0.5Thour OFF  OFF   16.34 -31.70  CRVBND   NA   NA    24.17   43.14  FCST   GOES13 45.3 
2015SEP06 041500  1.9 1013.0  29.0  1.9 2.2 2.6  0.7T6hr  OFF  OFF   18.94 -34.64  CRVBND   NA   NA    24.22   43.17  FCST   GOES13 45.3 
2015SEP06 044500  2.0 1012.4  30.0  2.0 2.2 2.6  0.7T6hr  OFF  OFF   17.14 -38.83  CRVBND   NA   NA    24.26   43.19  FCST   GOES13 45.3 
2015SEP06 051500  2.0 1012.4  30.0  2.0 2.2 2.5  0.7T6hr  OFF  OFF   16.64 -40.19  CRVBND   NA   NA    24.31   43.21  FCST   GOES13 45.4 
2015SEP06 054500  2.0 1012.4  30.0  2.0 2.2 2.5  0.7T6hr  OFF  OFF    5.34 -44.30  CRVBND   NA   NA    24.34   43.23  FCST   GOES13 45.4 
2015SEP06 061500  2.1 1011.8  31.0  2.1 2.2 2.3  0.7T6hr  OFF  OFF    9.74 -41.13  CRVBND   NA   NA    24.38   43.25  FCST   GOES13 45.4 
2015SEP06 064500  2.1 1009.8  31.0  2.1 2.2 3.1  0.7T6hr  OFF  OFF  -10.66 -48.58  CRVBND   NA   NA    24.42   43.26  FCST   GOES13 45.4 
2015SEP06 071500  2.2 1009.2  32.0  2.2 2.2 3.3  0.7T6hr  OFF  OFF  -42.16 -47.30  CRVBND   NA   NA    24.45   43.28  FCST   GOES13 45.4 
2015SEP06 074500  2.2 1009.2  32.0  2.2 2.2 3.5  0.7T6hr  OFF  OFF  -50.96 -45.15  CRVBND   NA   NA    24.49   43.29  FCST   GOES13 45.4 
2015SEP06 081500  2.2 1009.2  32.0  2.1 2.0 1.9  none   ON  OFF  -50.66 -48.77  UNIFRM   NA   NA    24.52   43.30  FCST   GOES13 45.4 
2015SEP06 084500  2.2 1009.0  32.0  2.1 2.2 2.2  none   ON  OFF  -58.86 -54.10  UNIFRM   NA   NA    24.87   43.21  FCST   GOES13 45.7 
2015SEP06 091500  2.2 1009.0  32.0  2.1 2.1 2.1  none   ON  OFF  -56.46 -53.12  UNIFRM   NA   NA    24.93   43.19  FCST   GOES13 45.8 
2015SEP06 094500  2.2 1008.9  32.0  2.1 2.0 2.0  none   ON  OFF  -59.96 -51.16  UNIFRM   NA   NA    25.00   43.18  FCST   GOES13 45.8 
2015SEP06 101500  2.2 1008.9  32.0  2.0 1.8 1.7  none   ON  OFF  -56.46 -45.22  UNIFRM   NA   NA    25.06   43.18  FCST   GOES13 45.9 
2015SEP06 104500  2.2 1008.9  32.0  1.9 1.6 1.5  0.5Thour  ON  OFF  -53.16 -40.19  UNIFRM   NA   NA    25.12   43.17  FCST   GOES13 45.9 
2015SEP06 111500  2.2 1008.8  32.0  2.0 2.5 2.5  none   ON  OFF  -49.46 -34.05  RCDO   NA   NA    25.18   43.16  FCST   GOES13 45.9 
2015SEP06 114500  2.2 1008.8  32.0  2.0 2.4 3.0  0.5Thour  ON  OFF  -21.06 -30.20  CRVBND   NA   NA    25.25   43.15  FCST   GOES13 46.0 
2015SEP06 121500  2.2 1008.8  32.0  2.1 2.5 2.7  0.5Thour  ON  OFF    0.24 -26.05  CRVBND   NA   NA    25.31   43.14  FCST   GOES13 46.0 
2015SEP06 124500  2.2 1008.7  32.0  2.1 2.3 2.3  none   ON  OFF    5.84 -17.53  CRVBND   NA   NA    25.37   43.13  FCST   GOES13 46.1 
2015SEP06 131500  2.2 1008.7  32.0  2.1 2.1 2.1  none   ON  OFF    7.34  -9.46  CRVBND   NA   NA    25.43   43.13  FCST   GOES13 46.1 
2015SEP06 134500  2.3 1008.1  33.0  2.3 2.3 2.3  none  OFF  OFF   12.04  -3.62  SHEAR    NA   NA    25.49   43.12  FCST   GOES13 46.2 
2015SEP06 141500  2.3 1008.1  33.0  2.3 2.6 3.0  0.5Thour OFF  OFF   16.84  -4.65  SHEAR    NA   NA    25.55   43.11  FCST   GOES13 46.2 
2015SEP06 144500  2.4 1007.5  34.0  2.4 2.8 3.4  0.5Thour OFF  OFF   15.94  -6.63  SHEAR    NA   NA    25.66   43.21  FCST   GOES13 46.2 
2015SEP06 151500  2.4 1007.4  34.0  2.4 2.8 3.4  0.5Thour OFF  OFF    7.14  -7.73  SHEAR    NA   NA    25.74   43.19  FCST   GOES13 46.3 
2015SEP06 154500  2.4 1007.4  34.0  2.4 2.3 2.3  none  OFF  OFF  -45.36 -12.77  CRVBND   NA   NA    25.82   43.17  FCST   GOES13 46.3 
2015SEP06 161500  2.4 1007.3  34.0  2.4 2.5 2.5  none  OFF  OFF  -45.96 -22.97  CRVBND   NA   NA    25.89   43.15  FCST   GOES13 46.4 
2015SEP06 164500  2.5 1006.7  35.0  2.5 2.6 2.8  0.7T6hr  OFF  OFF  -49.16 -32.84  CRVBND   NA   NA    25.97   43.12  FCST   GOES13 46.5 
2015SEP06 171500  2.5 1006.7  35.0  2.5 2.5 2.5  none  OFF  OFF  -49.76 -38.09  RCDO   NA   NA    26.04   43.08  FCST   GOES13 46.6 
2015SEP06 174500  2.5 1006.7  35.0  2.5 2.0 1.8  0.5Thour OFF  OFF  -53.46 -42.77  UNIFRM   NA   NA    26.11   43.04  FCST   GOES13 46.6 
2015SEP06 181500  2.5 1006.6  35.0  2.4 2.1 2.1  none   ON  OFF  -57.16 -46.18  UNIFRM   NA   NA    26.19   43.00  FCST   GOES13 46.7 
2015SEP06 184500  2.5 1006.6  35.0  2.3 2.2 2.2  none   ON  OFF  -54.76 -44.72  UNIFRM   NA   NA    26.26   42.96  FCST   GOES13 46.8 
2015SEP06 191500  2.5 1006.6  35.0  2.3 2.3 2.2  none   ON  OFF  -50.66 -44.94  UNIFRM   NA   NA    26.33   42.91  FCST   GOES13 46.9 
2015SEP06 194500  2.5 1006.5  35.0  2.3 2.4 2.3  none   ON  OFF  -41.86 -44.65  UNIFRM   NA   NA    26.40   42.86  FCST   GOES13 47.0 
2015SEP06 201500  2.5 1006.5  35.0  2.3 2.8 3.3  0.5Thour  ON  OFF  -39.06 -42.43  CRVBND   NA   NA    26.47   42.80  FCST   GOES13 47.1 


