=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2015AUG31 174500  4.7  979.0  82.2  4.7 4.7 3.9  MW OFF  OFF  -71.02 -65.80  UNIFRM   NA   NA    16.82   24.16  SPRL     MSG3 33.9 MW OFF HOLD >=6hrs old
2015AUG31 181500  4.7  979.0  82.2  4.7 4.7 3.8  MW     OFF  OFF  -69.59 -62.60  UNIFRM   NA   NA    16.87   24.14  SPRL     MSG3 34.0 
2015AUG31 184500  4.3  985.3  72.2  4.3 4.3 3.7  MW   OFF  OFF  -66.40 -62.07  UNIFRM   NA   NA    16.77   24.27  FCST     MSG3 34.0 
2015AUG31 191500  4.7  978.0  82.2  4.7 4.7 3.8  MW OFF  OFF  -63.43 -62.05  UNIFRM   NA   NA    16.82   24.34  FCST     MSG3 34.1 MW OFF HOLD >=6hrs old
2015AUG31 194500  4.7  978.0  82.2  4.7 4.7 3.8  MW     OFF  OFF  -62.61 -61.02  UNIFRM   NA   NA    16.87   24.42  FCST     MSG3 34.2 
2015AUG31 201500  4.3  985.2  72.2  4.3 4.3 3.9  MW   OFF  OFF  -64.26 -60.71  UNIFRM   NA   NA    16.92   24.50  FCST     MSG3 34.3 
2015AUG31 204500  4.8  975.9  84.8  4.8 4.8 4.1  MW OFF  OFF  -64.26 -59.63  UNIFRM   NA   NA    17.17   24.57  FCST     MSG3 34.5 MW OFF HOLD >=6hrs old
2015AUG31 211500  4.8  975.9  84.8  4.7 4.8 4.1  MW  ON  OFF  -68.65 -59.76  UNIFRM   NA   NA    17.23   24.63  FCST     MSG3 34.6 MW OFF  >=12hrs old
2015AUG31 214500  4.8  975.9  84.8  4.6 4.3 4.1  0.5Thour  ON  OFF  -65.97 -60.47  UNIFRM   NA   NA    17.28   24.70  FCST     MSG3 34.7 
2015AUG31 221500  4.8  975.9  84.8  4.6 4.2 4.1  none   ON  OFF  -67.74 -59.45  UNIFRM   NA   NA    17.34   24.77  FCST     MSG3 34.8 
2015AUG31 224500  4.8  975.8  84.8  4.5 4.1 4.0  none   ON  OFF  -64.68 -57.20  UNIFRM   NA   NA    17.39   24.84  FCST     MSG3 34.9 
2015AUG31 231500  4.8  975.8  84.8  4.4 4.1 4.0  0.5Thour  ON  FLG  -61.02 -55.02  UNIFRM   NA   NA    17.45   24.91  FCST     MSG3 35.0 
