=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2016NOV22 164500  4.0  989.4  65.0  4.0 4.0 4.0  none  OFF  OFF  -72.46 -67.97  UNIFRM   NA  -44.9   10.40   79.24  FCST   GOES13 13.1 
2016NOV22 171500  4.0  989.4  65.0  4.0 4.0 4.0  none  OFF  OFF  -71.06 -68.26  UNIFRM   NA  -44.9   10.39   79.25  FCST   GOES13 13.1 
2016NOV22 174500  4.0  989.4  65.0  3.9 4.0 4.0  none   ON  OFF  -74.36 -67.13  UNIFRM   NA  -44.9   10.39   79.27  FCST   GOES13 13.2 
2016NOV22 181500  4.0  989.4  65.0  3.9 4.0 4.0  none   ON  OFF  -72.96 -66.60  UNIFRM   NA  -44.9   10.39   79.29  FCST   GOES13 13.2 
2016NOV22 184500  4.0  989.4  65.0  4.0 4.1 4.1  none  OFF  OFF  -74.86 -66.92  UNIFRM   NA  -44.9   10.39   79.31  FCST   GOES13 13.2 
2016NOV22 191500  4.0  989.4  65.0  4.0 4.1 4.1  none  OFF  OFF  -73.86 -68.53  UNIFRM   NA  -44.9   10.39   79.33  FCST   GOES13 13.2 
2016NOV22 194500  4.0  989.4  65.0  4.0 4.1 4.1  none  OFF  OFF  -70.56 -68.85  UNIFRM   NA  -44.9   10.39   79.35  FCST   GOES13 13.2 
2016NOV22 201500  4.0  989.3  65.0  4.0 3.9 3.9  none  OFF  OFF  -67.86 -65.48  UNIFRM   NA  -44.9   10.48   79.55  FCST   GOES13 13.4 
2016NOV22 204500  4.0  989.3  65.0  4.0 3.9 3.9  none  OFF  OFF  -72.46 -63.93  UNIFRM   NA  -44.9   10.49   79.58  FCST   GOES13 13.4 
2016NOV22 211500  4.0  989.3  65.0  4.0 3.9 3.9  none  OFF  OFF  -72.96 -63.66  UNIFRM   NA  -44.9   10.51   79.62  FCST   GOES13 13.4 
2016NOV22 214500  4.0  989.3  65.0  3.9 3.9 3.9  none   ON  OFF  -70.56 -64.18  UNIFRM   NA  -44.9   10.52   79.65  FCST   GOES13 13.5 
2016NOV22 221500  4.0  989.3  65.0  3.9 3.8 3.8  none   ON  OFF  -69.16 -63.83  UNIFRM   NA  -44.9   10.52   79.68  FCST   GOES13 13.5 
2016NOV22 224500  4.0  989.3  65.0  3.9 3.9 3.9  none   ON  OFF  -67.46 -63.11  UNIFRM   NA  -44.9   10.53   79.72  FCST   GOES13 13.5 
2016NOV22 231500  4.0  989.3  65.0  3.8 3.9 3.9  none   ON  OFF  -64.16 -61.17  UNIFRM   NA  -44.9   10.54   79.75  FCST   GOES13 13.5 
2016NOV22 234500  4.0  989.3  65.0  3.8 3.9 3.9  none   ON  OFF  -61.86 -58.17  UNIFRM   NA    3.2   10.54   79.78  FCST   GOES13 13.6 
2016NOV23 001500  4.0  989.3  65.0  3.8 3.7 3.7  none   ON  OFF  -70.56 -55.80  UNIFRM   NA    3.2   10.55   79.82  FCST   GOES13 13.6 
2016NOV23 004500  4.0  989.3  65.0  3.8 3.5 3.5  none   ON  OFF  -71.46 -54.94  UNIFRM   NA    3.2   10.55   79.85  FCST   GOES13 13.6 
2016NOV23 011500  4.0  989.3  65.0  3.7 3.4 3.4  none   ON  FLG  -72.96 -55.80  UNIFRM   NA    3.2   10.56   79.88  FCST   GOES13 13.6 
2016NOV23 014500  4.0  989.3  65.0  3.6 3.3 3.3  none   ON  FLG  -72.96 -57.19  UNIFRM   NA    3.2   10.56   79.92  FCST   GOES13 13.6 
2016NOV23 021500  4.0  989.2  65.0  3.5 3.3 3.1  0.7T6hr   ON  FLG  -71.96 -58.36  UNIFRM   NA    3.2   10.68   79.75  FCST   GOES13 13.7 
2016NOV23 024500  4.0  989.2  65.0  3.4 3.4 3.4  none   ON  FLG  -71.96 -60.74  RCDO   NA    3.2   10.69   79.78  FCST   GOES13 13.7 
2016NOV23 031500  4.0  989.2  65.0  3.3 3.3 3.3  none   ON  FLG  -72.96 -63.73  UNIFRM   NA    3.2   10.71   79.82  FCST   GOES13 13.7 
2016NOV23 034500  3.9  990.6  63.0  3.3 3.4 3.4  none   ON  FLG  -74.86 -64.85  UNIFRM   NA    3.2   10.72   79.86  FCST   GOES13 13.8 
2016NOV23 041500  3.9  990.6  63.0  3.3 3.5 3.5  none   ON  FLG  -74.86 -65.85  UNIFRM   NA    3.2   10.72   79.90  FCST   GOES13 13.8 
