=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2015MAY29 063000  4.3  984.5  72.2  3.8 3.5 3.4  0.5Thour  ON  FLG  -66.36 -62.02  UNIFRM   NA   36.4   12.13  113.44  SPRL   GOES15 28.7 
2015MAY29 070000  4.3  984.5  72.2  3.7 3.5 3.4  0.5Thour  ON  FLG  -74.56 -61.83  UNIFRM   NA   36.4   12.17  113.40  SPRL   GOES15 28.8 
2015MAY29 073000  4.3  984.5  72.2  3.6 3.5 3.4  0.7T6hr   ON  FLG  -73.56 -62.15  UNIFRM   NA   36.4   12.21  113.45  SPRL   GOES15 28.7 
2015MAY29 080000  4.3  984.5  72.2  3.5 3.6 3.3  0.7T6hr   ON  FLG  -70.26 -61.87  UNIFRM   NA   36.4   12.25  113.72  SPRL   GOES15 28.5 
2015MAY29 083000  4.3  984.5  72.2  3.5 3.6 3.3  0.7T6hr   ON  FLG  -65.46 -63.76  UNIFRM   NA   36.4   12.28  113.77  SPRL   GOES15 28.5 
2015MAY29 090000  4.3  984.5  72.2  3.5 3.6 3.2  0.7T6hr   ON  FLG  -53.96 -65.27  UNIFRM   NA   36.4   12.22  114.03  SPRL   GOES15 28.2 
2015MAY29 093000  4.3  984.5  72.2  3.5 3.6 3.2  0.7T6hr   ON  FLG  -56.96 -65.73  UNIFRM   NA   36.4   12.26  114.19  SPRL   GOES15 28.0 
2015MAY29 100000  4.3  985.5  72.2  3.5 3.6 3.6  none   ON  FLG  -63.46 -71.90  UNIFRM   NA   36.4   12.25  113.95  SPRL   GOES15 28.3 
2015MAY29 103000  4.3  985.5  72.2  3.6 3.7 3.7  none   ON  OFF  -65.96 -73.04  UNIFRM   NA   36.4   12.29  114.10  SPRL   GOES15 28.1 
2015MAY29 110000  4.0  990.5  65.0  3.6 3.7 3.7  none   ON  OFF  -67.16 -73.65  UNIFRM   NA   36.4   12.22  114.05  SPRL   GOES15 28.2 
2015MAY29 113000  4.0  990.5  65.0  3.6 3.6 3.6  none   ON  OFF  -73.06 -73.38  UNIFRM   NA   36.4   12.26  114.00  SPRL   GOES15 28.2 
2015MAY29 120000  4.0  990.4  65.0  3.6 3.6 3.6  none   ON  OFF  -74.06 -72.69  UNIFRM   NA   36.4   12.38  114.11  SPRL   GOES15 28.2 
2015MAY29 123000  3.8  993.1  61.0  3.6 3.6 3.6  none   ON  OFF  -77.16 -72.88  UNIFRM   NA   36.4   12.32  114.16  SPRL   GOES15 28.1 
2015MAY29 130000  3.6  995.7  57.0  3.6 3.6 3.6  none   ON  OFF  -77.66 -73.78  UNIFRM   NA    4.6   12.36  114.21  SPRL   GOES15 28.1 
