=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2015JUL31 133000  3.5  995.1  55.0  3.4 3.4 3.4  none   ON  OFF  -46.06 -66.97  UNIFRM   NA   NA    12.32  132.59  SPRL   GOES15 14.7 
2015JUL31 140000  3.5  995.0  55.0  3.4 3.4 3.3  none   ON  OFF  -40.76 -66.34  UNIFRM   NA   NA    12.36  132.81  SPRL   GOES15 14.7 
2015JUL31 143000  3.5  995.1  55.0  3.4 3.3 3.3  none   ON  OFF  -38.96 -65.53  EMBC     NA   NA    12.30  132.93  SPRL   GOES15 14.6 
2015JUL31 150000  3.5  995.1  55.0  3.4 3.9 5.5  0.5Thour  ON  OFF  -18.36 -65.37  EYE     11   NA    12.34  133.05  SPRL   GOES15 14.6 
2015JUL31 153000  3.5  995.1  55.0  3.5 3.9 5.5  0.5Thour OFF  OFF  -12.46 -64.27  EYE     12   NA    12.27  133.17  SPRL   GOES15 14.5 
2015JUL31 160000  3.8  991.1  61.0  3.8 5.2 5.5  1.7T6hr  OFF  OFF  -10.46 -64.92  EYE     13   NA    12.35  133.36  COMBO  GOES15 14.6 
2015JUL31 163000  4.0  988.4  65.0  4.0 4.0 5.5  MW  OFF  OFF  -12.86 -64.63  EYE    -99   NA    12.29  133.38  SPRL   GOES15 14.5 MWinit1=5.14.04.0
2015JUL31 170000  4.0  988.4  65.0  4.0 4.0 5.6  MW  OFF  OFF   -7.86 -63.80  EYE    -99   NA    12.33  133.60  SPRL   GOES15 14.5 MWinit1=5.14.24.2
2015JUL31 173000  4.0  988.4  65.0  4.0 4.0 5.4  MW  OFF  OFF  -31.46 -65.15  EYE      9   NA    12.37  133.82  SPRL   GOES15 14.6 MWinit1=5.14.54.5
2015JUL31 180000  4.0  988.4  65.0  4.0 4.0 3.5  MW  OFF  OFF  -46.66 -66.22  UNIFRM   NA   NA    12.38  133.99  SPRL   GOES15 14.6 MWinit1=3.74.54.5
2015JUL31 183000  4.1  986.8  67.4  4.1 4.1 3.5  MW  OFF  OFF  -51.66 -66.26  UNIFRM   NA   NA    12.32  134.12  SPRL   GOES15 14.5 MWinit1=4.04.54.5
2015JUL31 190000  4.1  986.8  67.4  4.1 4.1 4.1  MW  OFF  OFF  -51.36 -66.18  EMBC     NA   NA    12.25  134.24  SPRL   GOES15 14.4 MWinit1=4.14.64.6
2015JUL31 193000  4.1  986.6  67.4  4.1 4.1 3.5  MW   ON  OFF  -67.16 -63.55  UNIFRM   NA   NA    12.74  133.80  FCST   GOES15 15.0 MWinit1=4.04.44.6
2015JUL31 200000  4.1  986.6  67.4  4.1 4.1 3.5  MW   ON  OFF  -65.46 -64.02  UNIFRM   NA   NA    12.77  133.92  FCST   GOES15 15.0 MWinit1=4.14.34.6
