=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2020JUL30 060000  3.4  987.6  53.0  3.4 3.2 3.2  none  OFF  OFF  -42.16 -50.27  CRVBND   NA   -1.2   16.26   67.75  FCST   GOES16 20.8 
2020JUL30 063000  3.4  987.6  53.0  3.4 2.9 2.0  0.5Thour OFF  OFF  -13.16 -43.56  CRVBND   NA   -1.2   16.36   67.88  FCST   GOES16 20.8 
2020JUL30 070000  3.4  985.8  53.0  3.3 2.9 2.3  0.5Thour  ON  OFF  -17.66 -34.50  CRVBND   NA   -1.2   16.47   68.01  FCST   GOES16 20.9 
2020JUL30 073000  3.4  985.6  53.0  3.2 2.9 2.0  0.5Thour  ON  OFF   13.34 -42.53  CRVBND   NA   -1.2   16.99   67.61  FCST   GOES16 21.6 
2020JUL30 080000  3.4  985.6  53.0  3.0 2.8 2.2  0.5Thour  ON  FLG   10.84 -42.34  CRVBND   NA   -1.2   17.03   67.66  FCST   GOES16 21.7 
2020JUL30 083000  3.4  985.6  53.0  3.0 2.7 2.3  0.5Thour  ON  FLG    3.34 -36.17  CRVBND   NA   -2.8   17.11   67.78  FCST   GOES16 21.7 
2020JUL30 090000  3.4  985.6  53.0  2.8 2.5 2.4  0.5Thour  ON  FLG  -27.16 -37.99  CRVBND   NA   -2.8   17.20   67.90  FCST   GOES16 21.7 
2020JUL30 093000  3.4  985.5  53.0  2.7 2.5 2.5  none   ON  FLG  -57.16 -44.71  RCDO   NA   -2.8   17.29   68.02  FCST   GOES16 21.8 
2020JUL30 100000  3.4  985.5  53.0  2.7 2.8 2.8  none   ON  FLG  -60.16 -52.86  RCDO   NA   -1.7   17.38   68.15  FCST   GOES16 21.8 
2020JUL30 103000  3.4  985.5  53.0  2.7 3.1 3.1  none   ON  FLG  -58.16 -57.89  RCDO   NA   -1.7   17.46   68.27  FCST   GOES16 21.9 
2020JUL30 110000  3.4  985.4  53.0  2.8 3.2 3.6  0.5Thour  ON  OFF  -60.16 -60.86  CRVBND   NA   -1.7   17.55   68.40  FCST   GOES16 21.9 
2020JUL30 113000  3.4  985.4  53.0  2.8 3.2 3.3  0.5Thour  ON  OFF  -60.16 -62.94  UNIFRM   NA   -1.3   17.64   68.53  FCST   GOES16 22.0 
2020JUL30 120000  3.4  985.4  53.0  2.9 3.3 3.4  0.5Thour  ON  OFF  -59.16 -64.20  UNIFRM   NA   -1.3   17.73   68.66  FCST   GOES16 22.0 
2020JUL30 123000  3.4  987.4  53.0  3.0 3.3 3.5  0.5Thour  ON  OFF  -61.16 -64.18  UNIFRM   NA   -1.3   17.82   68.79  FCST   GOES16 22.1 
2020JUL30 130000  3.3  988.4  51.0  3.2 3.4 3.5  0.5Thour  ON  OFF  -61.16 -63.66  UNIFRM   NA   -1.3   17.91   68.92  FCST   GOES16 22.1 
2020JUL30 133000  3.2  989.4  49.0  3.2 3.5 3.7  0.5Thour  ON  OFF  -67.16 -66.31  UNIFRM   NA   -1.3   17.95   68.85  FCST   GOES16 22.2 
2020JUL30 140000  3.3  988.4  51.0  3.3 3.7 3.7  none  OFF  OFF  -65.16 -65.87  UNIFRM   NA   -1.3   18.03   68.96  FCST   GOES16 22.2 
2020JUL30 143000  3.4  987.3  53.0  3.4 3.7 4.0  0.7T6hr  OFF  OFF  -66.16 -68.76  UNIFRM   NA   -1.3   18.02   68.81  FCST   GOES16 22.3 
2020JUL30 150000  3.4  987.3  53.0  3.4 3.5 3.9  0.7T6hr  OFF  OFF  -63.16 -67.38  UNIFRM   NA   -1.3   18.10   68.90  FCST   GOES16 22.3 
2020JUL30 153000  3.5  986.2  55.0  3.5 3.4 3.9  0.7T6hr  OFF  OFF  -59.16 -65.65  UNIFRM   NA   -1.3   18.18   69.00  FCST   GOES16 22.4 
2020JUL30 160000  3.5  986.2  55.0  3.5 3.4 3.8  0.7T6hr  OFF  OFF  -56.16 -64.12  UNIFRM   NA   -1.3   18.26   69.11  FCST   GOES16 22.4 
2020JUL30 163000  3.5  986.1  55.0  3.5 3.4 3.8  0.7T6hr  OFF  OFF  -51.16 -62.55  UNIFRM   NA   -1.3   18.34   69.23  FCST   GOES16 22.5 
2020JUL30 170000  3.5  986.1  55.0  3.5 3.5 3.8  0.7T6hr  OFF  OFF  -51.16 -60.01  UNIFRM   NA   -1.3   18.43   69.35  FCST   GOES16 22.5 
2020JUL30 233000  3.2  990.1  49.0  3.2 3.2 3.2  none  OFF  OFF  -39.16 -53.39  CRVBND   NA    NA   19.88   71.19  FCST   GOES16 23.7 
2020JUL31 000000  3.2  990.1  49.0  3.1 3.0 3.0  none   ON  OFF  -43.16 -51.17  CRVBND   NA    NA   19.95   71.31  FCST   GOES16 23.7 
2020JUL31 003000  3.2  990.1  49.0  2.9 2.7 2.6  0.5Thour  ON  OFF  -40.16 -48.94  CRVBND   NA    NA   20.02   71.43  FCST   GOES16 23.8 
2020JUL31 010000  3.2  990.1  49.0  3.0 3.1 3.1  none   ON  OFF  -56.16 -46.04  CRVBND   NA    NA   20.02   71.44  FCST   GOES16 23.8 
2020JUL31 013000  3.2  990.0  49.0  2.9 2.5 2.3  0.7T6hr   ON  OFF  -43.16 -42.56  CRVBND   NA    NA   20.16   71.55  FCST   GOES16 23.9 
2020JUL31 020000  3.2  990.0  49.0  2.8 2.5 2.2  0.7T6hr   ON  FLG  -18.16 -39.76  CRVBND   NA    NA   20.32   71.67  FCST   GOES16 24.1 
2020JUL31 023000  3.2  989.9  49.0  2.7 2.5 2.2  0.7T6hr   ON  FLG  -14.16 -38.30  CRVBND   NA    NA   20.42   71.78  FCST   GOES16 24.2 
2020JUL31 030000  3.2  989.9  49.0  2.7 3.0 3.0  none   ON  FLG  -63.16 -36.67  CRVBND   NA    NA   20.50   71.90  FCST   GOES16 24.2 
2020JUL31 033000  3.2  989.8  49.0  2.7 2.8 2.8  none   ON  FLG  -75.16 -39.56  UNIFRM   NA    NA   20.58   72.02  FCST   GOES16 24.3 
2020JUL31 040000  3.2  989.9  49.0  2.7 3.0 3.0  none   ON  OFF  -75.16 -44.58  UNIFRM   NA    NA   20.40   72.20  FCST   GOES16 24.1 
2020JUL31 043000  3.2  989.9  49.0  2.7 3.2 3.2  none   ON  OFF  -75.16 -52.34  UNIFRM   NA    NA   20.47   72.32  FCST   GOES16 24.1 
2020JUL31 050000  3.2  989.9  49.0  2.8 3.2 3.5  0.5Thour  ON  OFF  -73.16 -59.30  UNIFRM   NA    NA   20.54   72.43  FCST   GOES16 24.2 
2020JUL31 053000  3.2  989.8  49.0  3.0 3.2 3.5  0.5Thour  ON  OFF  -70.16 -62.83  UNIFRM   NA    NA   20.61   72.54  FCST   GOES16 24.3 
2020JUL31 060000  3.1  990.8  47.0  3.1 3.3 3.6  0.5Thour  ON  OFF  -66.16 -62.47  UNIFRM   NA    NA   20.68   72.65  FCST   GOES16 24.3 
2020JUL31 063000  3.2  989.8  49.0  3.2 3.4 3.4  none  OFF  OFF  -60.16 -60.03  UNIFRM   NA    NA   20.75   72.76  FCST   GOES16 24.4 
