=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2021SEP02 180000  4.6  979.4  79.6  4.6 4.6 4.3  MW   OFF  OFF  -69.16 -68.72  UNIFRM   NA   30.3   13.63   35.03  FCST   GOES16 48.3 
2021SEP02 183000  4.6  979.4  79.6  4.6 4.6 4.3  MW   OFF  OFF  -68.16 -68.72  UNIFRM   NA   30.3   13.69   35.02  SPRL   GOES16 48.3 
2021SEP02 190000  4.6  979.3  79.6  4.6 4.6 4.3  MW     OFF  OFF  -65.16 -67.54  UNIFRM   NA   41.5   13.81   35.16  SPRL   GOES16 48.2 
2021SEP02 193000  4.6  979.3  79.6  4.6 4.6 4.3  MW     OFF  OFF  -59.16 -66.64  UNIFRM   NA   41.5   13.91   35.28  SPRL   GOES16 48.1 
2021SEP02 200000  4.6  979.2  79.6  4.6 4.6 4.2  MW     OFF  OFF  -62.16 -65.57  UNIFRM   NA   41.5   13.99   35.39  SPRL   GOES16 48.0 
2021SEP02 203000  4.6  979.3  79.6  4.6 4.6 3.7  MW     OFF  OFF  -65.16 -65.88  UNIFRM   NA   41.5   13.92   35.41  SPRL   GOES16 48.0 
2021SEP02 210000  4.6  979.3  79.6  4.6 4.6 4.4  MW   OFF  OFF  -69.16 -67.73  UNIFRM   NA    9.6   13.95   35.44  SPRL   GOES16 48.0 
2021SEP02 213000  4.6  979.2  79.6  4.6 4.6 4.1  MW   OFF  OFF  -72.16 -67.02  UNIFRM   NA    9.6   13.97   35.78  SPRL   GOES16 47.6 
2021SEP02 220000  4.6  979.2  79.6  4.6 4.6 4.2  MW   OFF  OFF  -69.16 -72.45  UNIFRM   NA    9.6   14.00   35.81  SPRL   GOES16 47.6 
2021SEP02 223000  4.6  979.1  79.6  4.6 4.6 4.4  MW   OFF  OFF  -70.16 -74.51  UNIFRM   NA    9.6   14.22   35.95  SPRL   GOES16 47.5 
2021SEP02 230000  4.6  979.2  79.6  4.6 4.6 4.4  MW   OFF  OFF  -74.16 -73.63  UNIFRM   NA    9.6   14.14   36.09  SPRL   GOES16 47.4 
2021SEP02 233000  4.6  979.2  79.6  4.6 4.6 4.2  MW   OFF  OFF  -70.16 -70.62  UNIFRM   NA    9.6   14.06   36.33  SPRL   GOES16 47.1 
2021SEP03 000000  4.6  979.2  79.6  4.6 4.6 4.1  MW   OFF  OFF  -74.16 -69.14  UNIFRM   NA    9.6   14.07   36.48  SPRL   GOES16 46.9 
2021SEP03 003000  4.6  981.2  79.6  4.6 4.6 4.0  MW   OFF  OFF  -74.16 -67.48  UNIFRM   NA    9.6   14.09   36.62  SPRL   GOES16 46.8 
2021SEP03 010000  4.6  981.2  79.6  4.6 4.6 4.2  MW   OFF  OFF  -71.16 -67.93  UNIFRM   NA    9.6   14.20   36.87  SPRL   GOES16 46.6 
2021SEP03 013000  4.6  981.2  79.6  4.6 4.6 4.3  MW   OFF  OFF  -70.16 -68.26  UNIFRM   NA    9.6   14.32   37.00  SPRL   GOES16 46.5 
2021SEP03 020000  4.6  981.1  79.6  4.6 4.6 4.7  MW   OFF  OFF  -64.16 -67.13  EMBC     NA    9.6   14.39   37.18  SPRL   GOES16 46.3 
2021SEP03 023000  4.6  981.2  79.6  4.6 4.6 4.2  MW   OFF  OFF  -62.16 -64.52  UNIFRM   NA    9.6   14.32   37.31  SPRL   GOES16 46.1 
2021SEP03 030000  4.6  981.1  79.6  4.5 4.3 4.3  MW  ON  OFF  -54.16 -64.44  UNIFRM   NA    9.6   14.45   37.45  SPRL   GOES16 46.1 MW OFF HOLD >=6hrs old
2021SEP03 033000  4.6  981.1  79.6  4.5 4.2 4.2  none   ON  OFF  -64.16 -62.86  UNIFRM   NA    9.6   14.38   37.58  SPRL   GOES16 45.9 
2021SEP03 040000  4.6  981.2  79.6  4.4 4.2 4.2  none   ON  OFF  -73.16 -62.31  UNIFRM   NA    9.6   14.30   37.82  SPRL   GOES16 45.6 
2021SEP03 043000  4.6  981.2  79.6  4.3 4.2 4.2  none   ON  OFF  -74.16 -64.59  UNIFRM   NA    9.6   14.33   37.86  SPRL   GOES16 45.6 
2021SEP03 050000  4.6  981.1  79.6  4.3 4.3 4.3  none   ON  FLG  -68.16 -66.61  UNIFRM   NA    9.6   14.35   37.99  SPRL   GOES16 45.5 
2021SEP03 053000  4.6  981.1  79.6  4.2 4.4 4.4  none   ON  OFF  -66.16 -68.46  UNIFRM   NA    9.6   14.37   38.13  SPRL   GOES16 45.3 
2021SEP03 060000  4.6  981.1  79.6  4.2 4.4 4.4  none   ON  OFF  -58.16 -69.49  UNIFRM   NA    9.6   14.50   38.26  SPRL   GOES16 45.2 
2021SEP03 063000  4.6  981.1  79.6  4.3 4.7 5.9  0.5Thour  ON  OFF  -51.16 -70.62  EYE    -99    9.6   14.52   38.40  SPRL   GOES16 45.1 
2021SEP03 070000  4.6  981.0  79.6  4.6 4.6 6.0  MW   ON  OFF  -45.16 -71.00  EYE    -99    9.6   14.59   38.50  SPRL   GOES16 45.0 MWinit1=4.74.44.6
2021SEP03 073000  4.6  981.0  79.6  4.6 4.6 4.3  MW   ON  OFF  -60.16 -70.89  UNIFRM   NA    9.6   14.55   38.70  SPRL   GOES16 44.8 MWinit1=4.34.44.6
2021SEP03 080000  4.6  981.0  79.6  4.6 4.6 4.2  MW   ON  OFF  -47.16 -69.90  UNIFRM   NA    1.8   14.58   38.71  SPRL   GOES16 44.8 MWinit1=4.24.44.6
2021SEP03 083000  4.6  981.1  79.6  4.6 4.6 4.3  MW   ON  OFF  -63.16 -69.44  UNIFRM   NA    1.8   14.52   38.83  SPRL   GOES16 44.7 MWinit1=4.34.44.6
2021SEP03 090000  4.6  981.0  79.6  4.6 4.6 4.3  MW   ON  OFF  -65.16 -68.44  UNIFRM   NA    1.8   14.55   38.95  SPRL   GOES16 44.5 MWinit1=4.34.44.5
2021SEP03 093000  4.6  981.0  79.6  4.6 4.6 4.2  MW   ON  OFF  -59.16 -67.97  UNIFRM   NA    1.8   14.68   39.07  SPRL   GOES16 44.5 MWinit1=4.24.34.5
2021SEP03 100000  4.6  981.0  79.6  4.6 4.6 4.7  MW   ON  OFF  -60.16 -67.20  EMBC     NA   15.7   14.61   39.09  SPRL   GOES16 44.4 MWinit1=4.74.34.4
2021SEP03 103000  4.6  981.0  79.6  4.6 4.6 4.5  MW   ON  OFF  -57.16 -68.09  EMBC     NA   15.7   14.55   39.31  SPRL   GOES16 44.2 MWinit1=4.54.34.4
2021SEP03 110000  4.6  981.2  79.6  4.6 4.6 4.2  MW   ON  OFF  -70.16 -67.42  UNIFRM   NA   15.7   14.28   39.44  SPRL   GOES16 43.9 MWinit1=4.24.34.4
2021SEP03 113000  4.6  981.3  79.6  4.6 4.6 4.1  MW   ON  OFF  -72.16 -67.29  UNIFRM   NA   15.7   14.11   39.66  SPRL   GOES16 43.7 MWinit1=4.14.34.4
2021SEP03 120000  4.6  981.2  79.6  4.6 4.6 4.2  MW   ON  OFF  -73.16 -68.91  UNIFRM   NA   15.7   14.24   39.89  SPRL   GOES16 43.5 MWinit1=4.24.34.4
2021SEP03 123000  4.6  981.1  79.6  4.6 4.6 4.1  MW   ON  OFF  -68.16 -68.30  UNIFRM   NA   15.7   14.38   39.91  SPRL   GOES16 43.5 MWinit1=4.14.24.4
2021SEP03 130000  4.6  981.0  79.6  4.6 4.6 4.1  MW   ON  OFF  -59.16 -67.31  UNIFRM   NA   15.7   14.72   40.08  SPRL   GOES16 43.5 MWinit1=4.14.24.4
2021SEP03 133000  4.6  981.0  79.6  4.6 4.6 4.2  MW   ON  OFF  -55.16 -68.99  UNIFRM   NA   15.7   14.75   40.19  SPRL   GOES16 43.3 MWinit1=4.24.24.4
2021SEP03 140000  4.6  981.0  79.6  4.6 4.6 4.3  MW   ON  OFF  -62.16 -70.18  UNIFRM   NA   15.7   14.69   40.52  SPRL   GOES16 43.0 MWinit1=4.34.14.4
2021SEP03 143000  4.6  980.9  79.6  4.6 4.6 4.2  MW   ON  OFF  -60.16 -68.29  UNIFRM   NA   15.7   14.82   40.43  SPRL   GOES16 43.1 MWinit1=4.24.14.4
2021SEP03 150000  4.6  980.9  79.6  4.6 4.6 4.3  MW   ON  OFF  -61.16 -67.42  UNIFRM   NA   15.7   14.85   40.54  SPRL   GOES16 43.0 MWinit1=4.34.24.4
2021SEP03 153000  4.6  980.9  79.6  4.6 4.6 4.2  MW   ON  OFF  -61.16 -66.72  UNIFRM   NA   15.7   14.88   40.66  SPRL   GOES16 42.9 MWinit1=4.24.24.3
2021SEP03 160000  4.6  980.9  79.6  4.6 4.6 4.2  MW   ON  OFF  -60.16 -66.46  UNIFRM   NA   15.7   14.91   40.88  SPRL   GOES16 42.7 MWinit1=4.24.24.3
2021SEP03 163000  4.6  980.9  79.6  4.6 4.6 4.3  MW   ON  OFF  -55.16 -66.99  UNIFRM   NA   15.7   14.95   41.00  SPRL   GOES16 42.6 MWinit1=4.34.24.3
